City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,nastola,60.95,25.9333,19.91,50,100,3.49,FI,22-07-2023
79,olonkinbyen,70.9221,-8.7187,5.64,79,99,2.82,SJ,22-07-2023
80,lazaro cardenas,17.9583,-102.2,26.26,90,37,2.48,MX,22-07-2023
81,saint-philippe,-21.3585,55.7679,21.77,82,55,6.42,RE,22-07-2023
82,caras,-9.0467,-77.8114,15.11,73,23,3.72,PE,22-07-2023
83,hasaki,35.7333,140.8333,27.95,77,0,4.69,JP,22-07-2023
84,corozal,9.3151,-75.2928,25.12,91,100,1.66,CO,22-07-2023
85,buncrana,55.1333,-7.45,15.87,98,100,1.28,IE,22-07-2023
86,ciudad guayana,8.3533,-62.6528,25.29,94,94,1.15,VE,22-07-2023
87,blackmans bay,-43.0167,147.3167,11.4,75,100,2.69,AU,22-07-2023
88,tabuk,17.4189,121.4443,32.87,57,62,2.84,PH,22-07-2023
89,hohhot,40.8106,111.6522,26.06,57,20,2.0,CN,22-07-2023
90,singkil,-7.9855,111.4161,28.86,57,47,3.51,ID,22-07-2023
91,minas de marcona,-15.2119,-75.1103,12.01,87,54,4.74,PE,22-07-2023
92,tindouf,27.6711,-8.1474,33.25,21,0,3.09,DZ,22-07-2023
93,zhenlai,45.8495,123.2973,20.75,90,100,2.84,CN,22-07-2023
94,egilsstadir,65.2653,-14.3948,11.95,76,0,3.09,IS,22-07-2023
95,bilibino,68.0546,166.4372,20.44,56,97,3.31,RU,22-07-2023
96,arauco,-37.2463,-73.3175,10.0,90,100,2.35,CL,22-07-2023
97,marsa alam,25.0757,34.8918,34.91,40,19,7.07,EG,22-07-2023
98,punta arenas,-53.15,-70.9167,-2.77,75,90,3.21,CL,22-07-2023
99,ekibastuz,51.6667,75.3667,27.74,26,10,8.11,KZ,22-07-2023
100,haiku-pauwela,20.9219,-156.3051,25.02,80,100,8.23,US,22-07-2023
101,afaahiti,-17.75,-149.2833,20.93,64,75,4.79,PF,22-07-2023
102,revda,56.801,59.9303,16.07,86,100,3.5,RU,22-07-2023
103,piti village,13.4626,144.6933,30.17,81,20,4.12,GU,22-07-2023
104,hilo,19.7297,-155.09,24.03,96,100,0.45,US,22-07-2023
105,sawai madhopur,25.9833,76.3667,37.57,38,22,6.98,IN,22-07-2023
106,godalming,51.1846,-0.6173,18.1,76,100,6.69,GB,22-07-2023
107,vorgashor,67.5833,63.95,22.32,64,100,4.35,RU,22-07-2023
108,tiksi,71.6872,128.8694,10.69,72,100,3.62,RU,22-07-2023
109,salalah,17.0151,54.0924,26.05,100,100,4.12,OM,22-07-2023
110,udachny,66.4167,112.4,28.03,39,100,8.66,RU,22-07-2023
111,namibe,-15.1961,12.1522,20.1,74,45,2.22,AO,22-07-2023
112,tlacotalpan,18.6167,-95.6667,24.85,90,73,2.18,MX,22-07-2023
113,golyshmanovo,56.3979,68.3728,24.41,44,2,6.31,RU,22-07-2023
114,nar'yan-mar,67.6713,53.087,16.72,76,91,5.67,RU,22-07-2023
115,liverdun,48.7508,6.0642,21.03,60,0,1.54,FR,22-07-2023
116,sampacho,-33.3839,-64.7221,9.59,92,100,2.7,AR,22-07-2023
117,seminole,28.7086,-81.2081,28.56,89,0,2.57,US,22-07-2023
118,general salgado,-20.6483,-50.3606,17.36,67,0,3.43,BR,22-07-2023
119,kill devil hills,36.0307,-75.676,25.01,77,0,0.0,US,22-07-2023
120,mukalla,14.5425,49.1242,35.48,47,43,12.09,YE,22-07-2023
121,nanao,37.05,136.9667,31.11,79,16,2.36,JP,22-07-2023
122,mikun',62.3547,50.0771,18.77,63,83,3.76,RU,22-07-2023
123,lae,-6.7221,146.9847,26.33,86,19,2.53,PG,22-07-2023
124,mount pearl,47.5166,-52.7813,20.25,94,75,4.63,CA,22-07-2023
125,west island,-12.1568,96.8225,25.99,83,75,8.75,CC,22-07-2023
126,broken hill,-31.95,141.4333,11.67,49,49,3.22,AU,22-07-2023
127,ha giang,22.8333,104.9833,33.94,62,92,2.17,VN,22-07-2023
128,kohlu,29.8962,69.252,31.83,48,82,2.62,PK,22-07-2023
